TIME;Netherlands;Groningen;Friesland (NL);Drenthe;Overijssel;Gelderland;Flevoland;Utrecht;Noord-Holland;Zuid-Holland;Zeeland;Noord-Brabant;Limburg (NL)
1990;14,892,574;553,862;599,151;441,028;1,020,424;1,804,209;211,507;1,015,515;2,376,015;3,221,475;355,947;2,189,481;1,103,960
1990;;;;;;;;;;;;;
1990;;;;;;;;;;;;;
1990;;;;;;;;;;;;;
1991;15,010,445;554,604;600,013;443,510;1,026,325;1,816,935;221,505;1,026,841;2,397,088;3,247,282;357,454;2,209,047;1,109,841
1991;;;;;;;;;;;;;
1991;;;;;;;;;;;;;
1991;;;;;;;;;;;;;
1992;15,129,150;555,226;601,839;445,596;1,032,418;1,828,808;232,823;1,037,294;2,421,665;3,273,460;359,205;2,225,331;1,115,485
1992;;;;;;;;;;;;;
1992;;;;;;;;;;;;;
1992;;;;;;;;;;;;;
1993;15,239,182;555,397;603,998;448,256;1,039,083;1,839,883;243,441;1,047,035;2,440,165;3,297,241;361,195;2,243,546;1,119,942
1993;;;;;;;;;;;;;
1993;;;;;;;;;;;;;
1993;;;;;;;;;;;;;
1994;15,341,553;556,607;607,016;451,409;1,044,648;1,851,402;253,699;1,056,033;2,457,329;3,314,577;363,867;2,259,779;1,125,187
1994;;;;;;;;;;;;;
1994;;;;;;;;;;;;;
1994;;;;;;;;;;;;;
1995;15,424,122;557,995;609,579;454,864;1,050,389;1,864,732;262,325;1,063,460;2,463,611;3,325,064;365,846;2,276,207;1,130,050
1995;;;;;;;;;;;;;
1995;;;;;;;;;;;;;
1995;;;;;;;;;;;;;
1996;15,493,889;558,113;612,028;457,316;1,053,966;1,876,299;272,843;1,070,585;2,468,432;3,332,860;367,354;2,290,424;1,133,669
1996;;;;;;;;;;;;;
1996;;;;;;;;;;;;;
1996;;;;;;;;;;;;;
1997;15,567,107;558,124;615,045;460,817;1,057,944;1,886,109;281,472;1,079,428;2,474,754;3,344,695;368,426;2,304,094;1,136,199
1997;;;;;;;;;;;;;
1997;;;;;;;;;;;;;
1997;;;;;;;;;;;;;
1998;15,654,192;558,017;618,115;464,672;1,063,527;1,895,656;293,286;1,088,621;2,486,105;3,359,047;369,949;2,319,262;1,137,935
1998;;;;;;;;;;;;;
1998;;;;;;;;;;;;;
1998;;;;;;;;;;;;;
1999;15,760,225;559,988;621,222;467,093;1,070,444;1,906,778;306,468;1,098,722;2,503,158;3,378,770;370,571;2,337,709;1,139,302
1999;;;;;;;;;;;;;
1999;;;;;;;;;;;;;
1999;;;;;;;;;;;;;
2000;15,863,950;562,646;624,500;469,806;1,077,625;1,919,158;317,206;1,107,849;2,518,354;3,397,744;371,866;2,356,004;1,141,192
2000;;;;;;;;;;;;;
2000;;;;;;;;;;;;;
2000;;;;;;;;;;;;;
2001;15,987,075;566,489;630,539;474,506;1,086,280;1,934,314;328,936;1,117,997;2,534,599;3,420,700;374,920;2,375,116;1,142,679
2001;;;;;;;;;;;;;
2001;;;;;;;;;;;;;
2001;;;;;;;;;;;;;
2002;16,105,285;570,480;636,184;478,799;1,094,032;1,949,233;341,721;1,139,925;2,559,477;3,423,780;377,235;2,391,123;1,143,296
2002;;;;;;;;;;;;;
2002;;;;;;;;;;;;;
2002;;;;;;;;;;;;;
2003;16,192,572;572,997;639,787;481,254;1,100,677;1,960,422;351,680;1,152,218;2,573,120;3,439,982;378,348;2,400,198;1,141,889
2003;;;;;;;;;;;;;
2003;;;;;;;;;;;;;
2003;;;;;;;;;;;;;
2004;16,258,032;574,384;642,066;482,415;1,105,512;1,966,929;359,904;1,162,258;2,587,265;3,451,942;379,028;2,406,994;1,139,335
2004;;;;;;;;;;;;;
2004;;;;;;;;;;;;;
2004;;;;;;;;;;;;;
2005;16,305,526;575,072;642,977;483,369;1,109,432;1,972,010;365,859;1,171,291;2,599,103;3,458,381;379,978;2,411,359;1,136,695
2005;;;;;;;;;;;;;
2005;;;;;;;;;;;;;
2005;;;;;;;;;;;;;
2006;16,334,210;574,042;642,230;484,481;1,113,529;1,975,704;370,656;1,180,039;2,606,584;3,458,875;380,186;2,415,946;1,131,938
2006;;;;;;;;;;;;;
2006;;;;;;;;;;;;;
2006;;;;;;;;;;;;;
2007;16,357,992;573,614;642,209;486,197;1,116,374;1,979,059;374,424;1,190,604;2,613,070;3,455,097;380,497;2,419,042;1,127,805
2007;;;;;;;;;;;;;
2007;;;;;;;;;;;;;
2007;;;;;;;;;;;;;
2008;16,405,399;573,459;643,189;488,135;1,119,994;1,983,869;378,688;1,201,350;2,626,163;3,461,435;380,585;2,424,827;1,123,705
2008;;;;;;;;;;;;;
2008;;;;;;;;;;;;;
2008;;;;;;;;;;;;;
2009;16,485,787;574,092;644,811;489,918;1,125,435;1,991,062;383,449;1,210,869;2,646,445;3,481,558;380,984;2,434,560;1,122,604
2009;;;;;;;;;;;;;
2009;;;;;;;;;;;;;
2009;;;;;;;;;;;;;
2010;16,574,989;576,668;646,305;490,981;1,130,345;1,998,936;387,881;1,220,910;2,669,084;3,505,611;381,409;2,444,158;1,122,701
2010;;;;;;;;;;;;;
2010;;;;;;;;;;;;;
2010;;;;;;;;;;;;;
2011;16,655,799;579,036;647,282;491,411;1,134,465;2,004,671;391,967;1,228,794;2,691,477;3,528,324;381,530;2,454,215;1,122,627
2011;;;;;;;;;;;;;
2011;;;;;;;;;;;;;
2011;;;;;;;;;;;;;
2012;16,730,348;580,875;647,214;490,807;1,137,668;2,010,745;395,525;1,237,117;2,709,822;3,552,407;381,407;2,463,686;1,123,075
2012;;;;;;;;;;;;;
2012;;;;;;;;;;;;;
2012;;;;;;;;;;;;;
2013;16,779,575;581,705;646,862;489,918;1,139,350;2,015,791;398,441;1,245,294;2,724,300;3,563,935;381,077;2,471,011;1,121,891
2013;;;;;;;;;;;;;
2013;;;;;;;;;;;;;
2013;;;;;;;;;;;;;
2014;16,829,289;582,728;646,317;488,988;1,139,697;2,019,692;399,893;1,253,672;2,741,369;3,577,032;380,621;2,479,274;1,120,006
2014;;;;;;;;;;;;;
2014;;;;;;;;;;;;;
2014;;;;;;;;;;;;;
2015;16,900,726;583,942;646,257;488,576;1,140,652;2,026,578;401,791;1,263,572;2,761,929;3,600,011;380,726;2,488,751;1,117,941
2015;;;;;;;;;;;;;
2015;;;;;;;;;;;;;
2015;;;;;;;;;;;;;
2016;16,979,120;583,721;646,040;488,629;1,144,280;2,035,351;404,068;1,273,613;2,784,854;3,622,303;381,252;2,498,749;1,116,260
2016;;;;;;;;;;;;;
2016;;;;;;;;;;;;;
2016;;;;;;;;;;;;;
2017;17,081,507;583,581;646,874;491,792;1,147,687;2,047,901;407,818;1,284,504;2,809,483;3,650,222;381,568;2,512,531;1,117,546
2017;;;;;;;;;;;;;
2017;;;;;;;;;;;;;
2017;;;;;;;;;;;;;
2018;17,181,084;582,944;647,268;492,100;1,151,501;2,060,103;411,670;1,295,484;2,831,182;3,681,044;382,304;2,528,286;1,117,198
2018;;;;;;;;;;;;;
2018;;;;;;;;;;;;;
2018;;;;;;;;;;;;;
2019;17,282,163;583,990;647,672;492,167;1,156,431;2,071,972;416,546;1,306,912;2,853,359;3,709,139;383,032;2,544,806;1,116,137
2019;;;;;;;;;;;;;
2019;;;;;;;;;;;;;
2019;;;;;;;;;;;;;
2020;17,407,585;585,866;649,957;493,682;1,162,406;2,085,952;423,021;1,319,231;2,879,527;3,744,299;383,488;2,562,955;1,117,201
2020;;;;;;;;;;;;;
2020;;;;;;;;;;;;;
2020;;;;;;;;;;;;;
